conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,train staff to reduce food waste,released,skill/competence,sector-specific,teach students food waste reduction practices | inform staff on food waste reduction practices | educate workers on food recycling methods | educate staff on food waste reduction,"Establish new trainings and staff development provisions to support staff knowledge in food waste prevention and food recycling practices. Ensure that staff understands methods of and tools for food recycling, e.g., separating waste.",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,training on operational procedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,develop energy saving concepts,released,skill/competence,cross-sector,developing concepts for energy saving | developing energy saving concepts | develop energy saving concepts | develop concepts for energy saving | create concepts for energy saving | creating energy saving concepts | energy saving concepts creating | create energy saving concepts | creating concepts for energy saving | energy saving concepts developing,"Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,developing operational policies and procedures | think innovately
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,conduct research on flora,released,skill/competence,sector-specific,carry out research on flora | flora research | conduct research on flora | perform research on flora | run research on flora | research on flora,"Collect and analyse data about plants in order to discover their basic aspects such as origin, anatomy, and function.",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,analysing scientific and medical data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,install heat pump,released,skill/competence,cross-sector,install heat pump | installation of heat pumps | commission heat pumps | heat pump commissioning | installing heat pump | commissioning of heat pump | commission heat pump | heat pump installation | commissioning heat pump | commissioning heat pumps | installing heat pumps | installation of heat pump | commissioning of heat pumps | install heat pumps | heat pump installing,"Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"installing heating, ventilation and air conditioning equipment"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,design biomass installations,released,skill/competence,sector-specific,design biomass installation | design biomass system,"Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,designing electrical or electronic systems or equipment
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,inspect offshore constructions,released,skill/competence,cross-sector,inspect offshore constructions | evaluate offshore constructions | inspect offshore construction | inspeting offshore constructions | examine offshore constructions | check offshore constructions | assess offshore constructions,Conduct regular inspections during and after the construction of offshore facilities such as oil platforms to ensure risk minimisation and compliance with regulations.,http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f,"advising on legal, regulatory or procedural matters"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,adopt ways to foster biodiversity and animal welfare,released,skill/competence,transversal,implement environmental choices in your own eating habit | adopt a sustainable eating habit | promoting organic and biological food consumption | take animal welfare into account when buying food products | concretely support biodiversity and animal welfare | take sustainability issues into account in consumption choices,"Engage in behaviours that help maintaining stable ecosystems and combatting mass extinction, for example by making conscious dietary choices that support organic food production and animal welfare. ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,applying environmental skills and competences
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,perform a feasibility study for building management systems,released,skill/competence,sector-specific,carry out bms feasibility study,"Perform the evaluation and assessment of the potential of a building management system. Realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making.",http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,analysing business operations | execute feasibility study
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,remove contaminated materials,released,skill/competence,sector-specific,remove contaminated materials | contaminated materials removing | removing contaminated materials | treat contaminated materials | dispose of contaminated materials | contaminated materials treating | contaminated materials disposing,Remove materials and equipment which are contaminated with hazardous substances in order to protect the surroundings from further contamination and to treat or dispose of the contaminated materials.,http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f,handling and disposing of hazardous materials | assess contamination
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,follow procedures to control substances hazardous to health,released,skill/competence,sector-specific,comply with guidelines for use of hazardous substances | follow control of health procedures for hazardous substances | follow health procedures for the  control of hazardous substances | follow control of substances hazardous to health procedures | ensure safe use of substances hazardous to health,"Adhere to the Control of Substances Hazardous to Health (COSHH) procedures for activities that involve hazardous substances, such as bacteria, allergens, waste oil, paint or brake fluids that result in illness or injury.",http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176,handling and disposing of hazardous materials | follow safety precautions in work practices
